"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"❌ Skipping test 'Last Seen SRP' due to lack of ONLINE_SHOP URL.","484","test_run[test_case13]","DE/de","Wed May 14 13:12:54 GMT 2025","skipped","Wed May 14 13:12:54 GMT 2025","C907-P02 - CAB-CHASSIS-PLATFORM (SPRINTER)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32299","test_run[test_case14]","DE/de","Wed May 14 13:13:02 GMT 2025","passed","Wed May 14 13:13:35 GMT 2025","I907-fl - PANEL-VAN (ESPRINTER)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35044","test_run[test_case20]","DE/de","Wed May 14 13:14:52 GMT 2025","passed","Wed May 14 13:15:27 GMT 2025","M447-fl2 - MIXTO (VITO)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40392","test_run[test_case15]","DE/de","Wed May 14 13:13:49 GMT 2025","passed","Wed May 14 13:14:30 GMT 2025","P907-fl - PANEL-VAN (SPRINTER)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29285","test_run[test_case11]","DE/de","Wed May 14 13:11:35 GMT 2025","passed","Wed May 14 13:12:04 GMT 2025","I447-fl2 - PANEL-VAN (EVITO)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29487","test_run[test_case3]","DE/de","Wed May 14 13:11:05 GMT 2025","passed","Wed May 14 13:11:34 GMT 2025","P447-fl2 - PANEL-VAN (VITO)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","25100","test_run[test_case12]","DE/de","Wed May 14 13:12:29 GMT 2025","passed","Wed May 14 13:12:54 GMT 2025","T447-fl2 - TOURER (VITO)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36958","test_run[test_case17]","DE/de","Wed May 14 13:14:30 GMT 2025","passed","Wed May 14 13:15:07 GMT 2025","T420 - TOURER (CITAN)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31977","test_run[test_case22]","DE/de","Wed May 14 13:15:07 GMT 2025","passed","Wed May 14 13:15:39 GMT 2025","D907-fl - CAB-CHASSIS (SPRINTER)","Last Seen SRP","",""
"❌ Skipping test 'Last Seen SRP' due to lack of ONLINE_SHOP URL.","798","test_run[test_case5]","DE/de","Wed May 14 13:13:35 GMT 2025","skipped","Wed May 14 13:13:36 GMT 2025","H447-fl2 - MARCO-POLO-HORIZON (VAN)","Last Seen SRP","",""
"❌ Skipping test 'Last Seen SRP' due to lack of ONLINE_SHOP URL.","1791","test_run[test_case18]","DE/de","Wed May 14 13:13:36 GMT 2025","skipped","Wed May 14 13:13:38 GMT 2025","K907-fl - CAB-CHASSIS (ESPRINTER)","Last Seen SRP","",""
