"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45755","test_run[test_case39]","IT/it","Mon May 19 09:21:47 GMT 2025","failed","Mon May 19 09:22:33 GMT 2025","P907-fl - PANEL-VAN (SPRINTER)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","24622","test_run[test_case44]","IT/it","Mon May 19 09:23:38 GMT 2025","passed","Mon May 19 09:24:03 GMT 2025","M447-fl2 - MIXTO (VITO)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35219","test_run[test_case7]","IT/it","Mon May 19 09:11:15 GMT 2025","passed","Mon May 19 09:11:50 GMT 2025","F420 - TOURER (ECITAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48999","test_run[test_case25]","IT/it","Mon May 19 09:18:40 GMT 2025","failed","Mon May 19 09:19:29 GMT 2025","R447-fl2 - MARCO-POLO (VAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34367","test_run[test_case20]","IT/it","Mon May 19 09:14:20 GMT 2025","passed","Mon May 19 09:14:54 GMT 2025","P420 - PANEL-VAN (CITAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36007","test_run[test_case5]","IT/it","Mon May 19 09:12:29 GMT 2025","passed","Mon May 19 09:13:05 GMT 2025","P447-fl2 - PANEL-VAN (VITO)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","23704","test_run[test_case47]","IT/it","Mon May 19 09:23:21 GMT 2025","failed","Mon May 19 09:23:45 GMT 2025","I420 - PANEL-VAN (ECITAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38292","test_run[test_case38]","IT/it","Mon May 19 09:23:00 GMT 2025","failed","Mon May 19 09:23:38 GMT 2025","I907-fl - PANEL-VAN (ESPRINTER)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41795","test_run[test_case24]","IT/it","Mon May 19 09:16:28 GMT 2025","failed","Mon May 19 09:17:10 GMT 2025","I420 - PANEL-VAN (ECITAN)","BFV2","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","574","test_run[test_case22]","IT/it","Mon May 19 09:15:26 GMT 2025","skipped","Mon May 19 09:15:26 GMT 2025","C907-fl - CAB-CHASSIS (SPRINTER)","BFV2","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","36511","test_run[test_case6]","IT/it","Mon May 19 09:09:14 GMT 2025","skipped","Mon May 19 09:09:50 GMT 2025","H447-fl2 - MARCO-POLO-HORIZON (VAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31746","test_run[test_case21]","IT/it","Mon May 19 09:14:54 GMT 2025","passed","Mon May 19 09:15:26 GMT 2025","M447-fl2 - MIXTO (VITO)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32889","test_run[test_case33]","IT/it","Mon May 19 09:21:32 GMT 2025","failed","Mon May 19 09:22:05 GMT 2025","V447-fl2 - V-CLASS (VAN)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","560","test_run[test_case29]","IT/it","Mon May 19 09:16:26 GMT 2025","skipped","Mon May 19 09:16:26 GMT 2025","H447-fl2 - MARCO-POLO-HORIZON (VAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31737","test_run[test_case13]","IT/it","Mon May 19 09:15:53 GMT 2025","passed","Mon May 19 09:16:25 GMT 2025","T447-fl2 - TOURER (VITO)","BFV2","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","501","test_run[test_case46]","IT/it","Mon May 19 09:22:09 GMT 2025","skipped","Mon May 19 09:22:10 GMT 2025","D907-fl - CAB-CHASSIS (SPRINTER)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","795","test_run[test_case26]","IT/it","Mon May 19 09:15:27 GMT 2025","skipped","Mon May 19 09:15:28 GMT 2025","F447-fl2 - TOURER (EVITO)","BFV3","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","664","test_run[test_case11]","IT/it","Mon May 19 09:15:04 GMT 2025","skipped","Mon May 19 09:15:04 GMT 2025","C910-fl - CAB-CHASSIS (SPRINTER)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33881","test_run[test_case41]","IT/it","Mon May 19 09:21:34 GMT 2025","passed","Mon May 19 09:22:08 GMT 2025","T420 - TOURER (CITAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29840","test_run[test_case9]","IT/it","Mon May 19 09:12:09 GMT 2025","failed","Mon May 19 09:12:38 GMT 2025","V420 - T-CLASS (VAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35131","test_run[test_case36]","IT/it","Mon May 19 09:21:37 GMT 2025","passed","Mon May 19 09:22:12 GMT 2025","T447-fl2 - TOURER (VITO)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","966","test_run[test_case40]","IT/it","Mon May 19 09:22:33 GMT 2025","skipped","Mon May 19 09:22:34 GMT 2025","T907-fl - TOURER (SPRINTER)","BFV3","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","634","test_run[test_case23]","IT/it","Mon May 19 09:15:26 GMT 2025","skipped","Mon May 19 09:15:27 GMT 2025","D907-fl - CAB-CHASSIS (SPRINTER)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31677","test_run[test_case18]","IT/it","Mon May 19 09:13:05 GMT 2025","passed","Mon May 19 09:13:37 GMT 2025","T420 - TOURER (CITAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33119","test_run[test_case30]","IT/it","Mon May 19 09:16:26 GMT 2025","passed","Mon May 19 09:16:59 GMT 2025","F420 - TOURER (ECITAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42945","test_run[test_case35]","IT/it","Mon May 19 09:20:54 GMT 2025","failed","Mon May 19 09:21:37 GMT 2025","I447-fl2 - PANEL-VAN (EVITO)","BFV3","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","927","test_run[test_case17]","IT/it","Mon May 19 09:19:32 GMT 2025","skipped","Mon May 19 09:19:33 GMT 2025","T907-fl - TOURER (SPRINTER)","BFV2","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","564","test_run[test_case42]","IT/it","Mon May 19 09:22:08 GMT 2025","skipped","Mon May 19 09:22:09 GMT 2025","K907-fl - CAB-CHASSIS (ESPRINTER)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33489","test_run[test_case28]","IT/it","Mon May 19 09:18:22 GMT 2025","passed","Mon May 19 09:18:55 GMT 2025","P447-fl2 - PANEL-VAN (VITO)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41080","test_run[test_case32]","IT/it","Mon May 19 09:20:53 GMT 2025","failed","Mon May 19 09:21:34 GMT 2025","V420 - T-CLASS (VAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","51539","test_run[test_case12]","IT/it","Mon May 19 09:15:02 GMT 2025","failed","Mon May 19 09:15:53 GMT 2025","I447-fl2 - PANEL-VAN (EVITO)","BFV2","",""
"❌ Skipping test 'BFV2' due to lack of ONLINE_SHOP URL.","792","test_run[test_case19]","IT/it","Mon May 19 09:13:37 GMT 2025","skipped","Mon May 19 09:13:37 GMT 2025","K907-fl - CAB-CHASSIS (ESPRINTER)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30327","test_run[test_case10]","IT/it","Mon May 19 09:14:33 GMT 2025","failed","Mon May 19 09:15:03 GMT 2025","V447-fl2 - V-CLASS (VAN)","BFV2","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31049","test_run[test_case43]","IT/it","Mon May 19 09:22:12 GMT 2025","passed","Mon May 19 09:22:43 GMT 2025","P420 - PANEL-VAN (CITAN)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case1]","","Mon May 19 09:09:14 GMT 2025","passed","Mon May 19 09:09:14 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46661","test_run[test_case31]","IT/it","Mon May 19 09:18:41 GMT 2025","failed","Mon May 19 09:19:27 GMT 2025","E447-fl2 - EQV (VAN)","BFV3","",""
